Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Mexico,Liga MX,2025/2026,25/09/2025,03:00,Toluca,Monterrey,6,2,H,1.65,4.15,5.26,1.56,4.5,5.7,1.51,4.37,5.09,1.59,4.6,5.9,1.49,4.5,5.5
Mexico,Liga MX,2025/2026,25/09/2025,04:00,Atl. San Luis,Club America,0,1,A,4.8,4.05,1.72,4.75,4.1,1.7,4.49,3.93,1.64,5.3,4.1,1.74,4.75,4.0,1.61
Mexico,Liga MX,2025/2026,25/09/2025,04:00,Santos Laguna,Club Tijuana,1,0,H,3.19,3.94,2.14,3.3,4.0,2.1,3.13,3.71,2.02,3.3,4.0,2.16,3.1,3.75,2.01
Mexico,Liga MX,2025/2026,27/09/2025,02:00,Juarez,Club Leon,2,0,H,2.02,3.67,3.76,2.2,3.6,3.55,2.07,3.38,3.3,2.24,3.5,3.6,2.15,3.3,3.3
Mexico,Liga MX,2025/2026,28/09/2025,00:00,Atlas,Necaxa,3,2,H,3.8,3.71,1.99,3.9,3.75,2.0,3.52,3.58,1.91,4.0,3.8,2.0,3.9,3.6,1.86
Mexico,Liga MX,2025/2026,28/09/2025,00:00,Pachuca,Atl. San Luis,2,1,H,1.75,4.14,4.46,1.73,4.2,4.6,1.65,3.99,4.34,1.75,4.2,4.8,1.66,4.1,4.2
Mexico,Liga MX,2025/2026,28/09/2025,00:00,Puebla,Guadalajara Chivas,0,2,A,3.64,3.48,2.12,3.5,3.5,2.12,3.26,3.36,2.08,3.8,3.5,2.18,3.4,3.5,2.05
Mexico,Liga MX,2025/2026,28/09/2025,02:00,Monterrey,Santos Laguna,1,0,H,1.31,6.15,9.09,1.29,6.5,9.5,1.26,5.76,8.6,1.3,6.6,10.5,1.24,6.5,8.0
Mexico,Liga MX,2025/2026,28/09/2025,02:00,Toluca,Mazatlan FC,3,1,H,1.22,7.28,11.54,1.26,7.0,11.5,1.21,6.35,10.17,1.27,7.2,12.0,1.22,7.0,9.5
Mexico,Liga MX,2025/2026,28/09/2025,04:05,Club America,UNAM Pumas,4,1,H,1.77,3.71,4.97,1.75,3.9,5.33,1.69,3.65,4.6,1.81,3.75,5.2,1.68,3.9,4.5
Mexico,Liga MX,2025/2026,29/09/2025,00:00,Queretaro,Tigres UANL,0,2,A,5.39,3.93,1.68,5.25,4.0,1.66,5.05,3.74,1.61,5.6,4.0,1.72,5.0,3.9,1.61
Mexico,Liga MX,2025/2026,29/09/2025,04:05,Club Tijuana,Cruz Azul,2,0,H,3.18,4.05,2.11,3.2,4.0,2.1,3.03,3.8,2.03,3.2,4.2,2.16,3.0,3.9,2.05
Mexico,Liga MX,2025/2026,04/10/2025,02:00,Necaxa,Pachuca,0,1,A,2.49,3.73,2.75,2.55,3.7,2.7,2.44,3.54,2.54,2.56,3.75,2.82,2.4,3.7,2.57
Mexico,Liga MX,2025/2026,04/10/2025,04:00,Mazatlan FC,Atl. San Luis,2,1,H,2.53,3.42,2.89,2.55,3.5,2.75,2.43,3.39,2.64,2.74,3.55,2.78,2.4,3.5,2.65
Mexico,Liga MX,2025/2026,04/10/2025,04:05,Atlas,Juarez,3,1,H,3.07,3.5,2.37,2.92,3.6,2.38,2.83,3.41,2.29,3.2,3.55,2.42,2.82,3.5,2.3
Mexico,Liga MX,2025/2026,05/10/2025,00:00,Queretaro,Puebla,3,1,H,3.11,3.38,2.4,2.92,3.35,2.5,2.79,3.18,2.42,3.05,3.3,2.64,2.85,3.1,2.45
Mexico,Liga MX,2025/2026,05/10/2025,02:00,Club Leon,Toluca,2,4,A,5.06,4.67,1.6,5.1,4.75,1.6,4.73,4.54,1.54,5.5,5.0,1.6,5.0,4.75,1.51
Mexico,Liga MX,2025/2026,05/10/2025,02:00,Tigres UANL,Cruz Azul,1,1,D,2.07,3.66,3.58,2.15,3.6,3.4,2.07,3.46,3.2,2.14,3.7,3.65,2.01,3.5,3.4
Mexico,Liga MX,2025/2026,05/10/2025,04:05,Club America,Santos Laguna,3,0,H,1.19,7.82,13.32,1.2,7.5,15.0,1.17,6.96,12.63,1.21,8.2,15.0,1.15,7.5,13.0
Mexico,Liga MX,2025/2026,06/10/2025,02:00,UNAM Pumas,Guadalajara Chivas,1,2,A,2.33,3.27,3.36,2.5,3.35,3.05,2.37,3.2,2.84,2.56,3.4,3.0,2.45,3.2,2.85
Mexico,Liga MX,2025/2026,06/10/2025,04:05,Club Tijuana,Monterrey,2,2,D,2.7,3.84,2.49,2.88,3.65,2.42,2.74,3.51,2.29,2.9,3.7,2.54,2.57,3.4,2.2
