Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Poland,Ekstraklasa,2025/2026,27/09/2025,16:30,Piast Gliwice,Termalica B-B.,4,2,H,1.87,3.59,4.39,1.91,3.65,4.25,1.84,3.48,3.9,1.94,3.75,4.4,1.83,3.5,4.0
Poland,Ekstraklasa,2025/2026,27/09/2025,19:15,Cracovia,Gornik Zabrze,1,1,D,2.51,3.23,3.03,2.54,3.4,2.83,2.44,3.21,2.75,2.62,3.35,3.0,2.5,3.1,2.75
Poland,Ekstraklasa,2025/2026,28/09/2025,11:15,Widzew Lodz,Rakow,0,1,A,2.65,3.29,2.8,2.75,3.4,2.64,2.62,3.24,2.51,2.82,3.4,2.72,2.6,3.4,2.45
Poland,Ekstraklasa,2025/2026,28/09/2025,13:45,Lech Poznan,Jagiellonia,2,2,D,1.95,3.86,3.72,1.95,4.0,3.66,1.89,3.75,3.45,1.96,4.0,4.0,1.85,4.0,3.25
Poland,Ekstraklasa,2025/2026,28/09/2025,16:30,Legia,Pogon Szczecin,1,0,H,1.61,4.35,5.18,1.52,5.0,6.1,1.47,4.47,5.48,1.54,4.8,6.4,1.48,4.5,5.25
Poland,Ekstraklasa,2025/2026,29/09/2025,17:00,Zaglebie,Arka Gdynia,4,0,H,2.14,3.25,3.77,2.12,3.45,3.75,2.06,3.26,3.41,2.12,3.4,4.0,2.0,3.25,3.5
Poland,Ekstraklasa,2025/2026,29/09/2025,19:30,Motor Lublin,Radomiak Radom,2,2,D,2.27,3.58,3.13,2.25,3.6,3.15,2.19,3.44,2.95,2.3,3.6,3.3,2.2,3.4,3.0
Poland,Ekstraklasa,2025/2026,03/10/2025,17:00,Lechia Gdansk,Wisla Plock,1,1,D,2.55,3.17,3.03,2.5,3.3,2.98,2.39,3.2,2.82,2.5,3.45,3.1,2.4,3.25,2.9
Poland,Ekstraklasa,2025/2026,03/10/2025,19:30,Pogon Szczecin,Piast Gliwice,2,1,H,2.04,3.7,3.59,2.05,3.65,3.6,1.99,3.52,3.36,2.14,3.85,3.55,2.05,3.5,3.4
Poland,Ekstraklasa,2025/2026,04/10/2025,13:45,Termalica B-B.,Widzew Lodz,2,4,A,2.9,3.62,2.39,2.88,3.6,2.4,2.76,3.48,2.31,2.9,3.7,2.46,2.75,3.6,2.4
Poland,Ekstraklasa,2025/2026,04/10/2025,16:30,Radomiak Radom,Zaglebie,3,1,H,2.38,3.43,3.05,2.45,3.55,2.92,2.35,3.3,2.82,2.56,3.55,2.96,2.45,3.3,2.88
Poland,Ekstraklasa,2025/2026,04/10/2025,19:15,Arka Gdynia,Cracovia,2,1,H,3.41,3.03,2.41,3.25,3.05,2.52,3.12,2.92,2.38,3.4,3.1,2.52,3.25,3.0,2.4
Poland,Ekstraklasa,2025/2026,05/10/2025,11:15,Jagiellonia,Korona Kielce,3,1,H,2.1,3.57,3.52,2.05,3.75,3.75,1.99,3.47,3.38,2.12,3.6,3.75,2.05,3.5,3.4
Poland,Ekstraklasa,2025/2026,05/10/2025,13:45,Rakow,Motor Lublin,2,0,H,1.53,4.51,5.88,1.6,4.33,5.6,1.55,4.11,5.14,1.64,4.3,5.8,1.57,4.33,5.25
Poland,Ekstraklasa,2025/2026,05/10/2025,16:30,GKS Katowice,Lech Poznan,0,1,A,3.14,3.96,2.13,3.2,3.85,2.2,3.02,3.6,2.1,3.2,3.9,2.26,3.1,3.6,2.1
Poland,Ekstraklasa,2025/2026,05/10/2025,19:15,Gornik Zabrze,Legia,3,1,H,2.83,3.44,2.54,3.0,3.45,2.5,2.8,3.25,2.37,3.1,3.35,2.52,3.0,3.3,2.3
